YearMonth,Public_Chargers (000),Private_Chargers (000)
202012,82.89706111,172.422241
202101,83.07398834,174.1915133
202102,86.612533,178.6146941
202103,85.72789683,179.4993303
202104,89.26644149,183.9225111
202105,90.15107766,190.9996004
202106,94.57425848,198.9613259
202107,98.11280314,204.2691429
202108,99.88207547,214.8847769
202109,104.3052563,223.7311385
202110,108.7284371,226.385047
202111,112.2669818,238.7699533
202112,115.8055264,260.8858575
202201,118.4594349,284.7710339
202202,125.5365243,290.9634871
202203,125.5365243,310.4254827
202204,137.9214306,330.7721145
202205,144.9985199,360.8497441
202206,154.7295177,392.696646
202207,161.806607,401.5430077
202208,166.2297878,432.5052734
202209,166.2297878,450.1979967
202210,169.7683325,470.5446285
202211,177.730058,493.5451688
202212,182.1532388,520.0842538
202301,186.5764196,540.4308856
202302,191.8842366,559.8928812
202303,198.9613259,586.4319661
202304,204.2691429,610.3171426
202305,213.1155046,637.7408637
202306,218.4233216,663.3953125
