,region,category,parameter,mode,powertrain,year,unit,value
122,China,Historical,EV charging points,EV,Publicly available fast,2014,charging points,9000.0
123,China,Historical,EV charging points,EV,Publicly available slow,2014,charging points,21000.0
124,China,Historical,EV charging points,EV,Publicly available fast,2015,charging points,12000.0
125,China,Historical,EV charging points,EV,Publicly available slow,2015,charging points,47000.0
126,China,Historical,EV charging points,EV,Publicly available fast,2016,charging points,55000.0
127,China,Historical,EV charging points,EV,Publicly available slow,2016,charging points,86000.0
128,China,Historical,EV charging points,EV,Publicly available fast,2017,charging points,83000.0
129,China,Historical,EV charging points,EV,Publicly available slow,2017,charging points,130000.0
130,China,Historical,EV charging points,EV,Publicly available fast,2018,charging points,110000.0
131,China,Historical,EV charging points,EV,Publicly available slow,2018,charging points,160000.0
132,China,Historical,EV charging points,EV,Publicly available fast,2019,charging points,210000.0
133,China,Historical,EV charging points,EV,Publicly available slow,2019,charging points,300000.0
134,China,Historical,EV charging points,EV,Publicly available fast,2020,charging points,310000.0
135,China,Historical,EV charging points,EV,Publicly available slow,2020,charging points,500000.0
136,China,Historical,EV charging points,EV,Publicly available fast,2021,charging points,470000.0
137,China,Historical,EV charging points,EV,Publicly available slow,2021,charging points,680000.0
138,China,Historical,EV charging points,EV,Publicly available fast,2022,charging points,760000.0
139,China,Historical,EV charging points,EV,Publicly available slow,2022,charging points,1000000.0
140,China,Historical,EV charging points,EV,Publicly available fast,2023,charging points,1200000.0
141,China,Historical,EV charging points,EV,Publicly available slow,2023,charging points,1500000.0
