date,sales('0000)
2022-01,43.1635
2022-02,33.4048
2022-03,48.4182
2022-04,29.6515
2022-05,44.6649
2022-06,59.6783
2022-07,59.3029
2022-08,66.2466
2022-09,70.9383
2022-10,71.3137
2022-11,78.445
2022-12,81.6354
2023-01,40.9115
2023-02,52.5469
2023-03,65.3083
2023-04,63.807
2023-05,71.8767
2023-06,80.6971
2023-07,78.0697
2023-08,84.6381
2023-09,90.6434
2023-10,95.3351
2023-11,102.466
2023-12,119.169
2024-01,72.815
2024-02,47.4799
2024-03,88.3914
2024-04,85.0134
2024-05,95.3351
2024-06,105.094
2024-07,99.0885
